"","Model","Species ID","Mass","sdlog Mass","Temperature","sd Temp","MeanDispersal","ProbDisp","Climate Change Scenario","Extinctionrisk","Mean TimestepsTillExtinction"
"18","Beverton",5,0.0868979202583432,0.000482445734553039,293.614122821577,9.14759922632948,0.200758655478712,0.01,"Scenario2: 0,02",0,0
"19","Beverton",5,0.0868979202583432,0.000482445734553039,293.614122821577,9.14759922632948,0.200758655478712,0.01,"Scenario3: 0,04",0,0
"20","Beverton",5,0.0868979202583432,0.000482445734553039,293.614122821577,9.14759922632948,0.200758655478712,0.01,"Scenario2: 0,06",0,0
"21","Beverton",6,0.0434768703836016,0.00180275500984862,292.106293242518,14.6588436812162,0.36021722979378,0.01,"Scenario1: 0,00",0,0
"22","Beverton",6,0.0434768703836016,0.00180275500984862,292.106293242518,14.6588436812162,0.36021722979378,0.01,"Scenario2: 0,02",0,0
"23","Beverton",6,0.0434768703836016,0.00180275500984862,292.106293242518,14.6588436812162,0.36021722979378,0.01,"Scenario3: 0,04",0,0
"24","Beverton",6,0.0434768703836016,0.00180275500984862,292.106293242518,14.6588436812162,0.36021722979378,0.01,"Scenario2: 0,06",0,0
"25","Beverton",7,0.0934351891232655,0.000214586156886071,274.41905099256,14.444283461431,0.0372213719063439,0.01,"Scenario1: 0,00",0.1,9
"26","Beverton",7,0.0934351891232655,0.000214586156886071,274.41905099256,14.444283461431,0.0372213719063439,0.01,"Scenario2: 0,02",0,0
"27","Beverton",7,0.0934351891232655,0.000214586156886071,274.41905099256,14.444283461431,0.0372213719063439,0.01,"Scenario3: 0,04",0.05,5.05
"28","Beverton",7,0.0934351891232655,0.000214586156886071,274.41905099256,14.444283461431,0.0372213719063439,0.01,"Scenario2: 0,06",0.85,83.25
"29","Beverton",8,0.0936787378089503,3.45508065074682e-05,297.659505322203,14.2145192727912,0.365971294892952,0.01,"Scenario1: 0,00",0,0
"30","Beverton",8,0.0936787378089503,3.45508065074682e-05,297.659505322203,14.2145192727912,0.365971294892952,0.01,"Scenario2: 0,02",0,0
"31","Beverton",8,0.0936787378089503,3.45508065074682e-05,297.659505322203,14.2145192727912,0.365971294892952,0.01,"Scenario3: 0,04",0,0
"32","Beverton",8,0.0936787378089503,3.45508065074682e-05,297.659505322203,14.2145192727912,0.365971294892952,0.01,"Scenario2: 0,06",0,0
"33","Beverton",9,0.0940787968062796,0.000897090471815318,280.613843829464,3.32736431923695,0.463516509914771,0.01,"Scenario1: 0,00",1,8.25
"34","Beverton",9,0.0940787968062796,0.000897090471815318,280.613843829464,3.32736431923695,0.463516509914771,0.01,"Scenario2: 0,02",1,7.95
"35","Beverton",9,0.0940787968062796,0.000897090471815318,280.613843829464,3.32736431923695,0.463516509914771,0.01,"Scenario3: 0,04",1,7.7
"36","Beverton",9,0.0940787968062796,0.000897090471815318,280.613843829464,3.32736431923695,0.463516509914771,0.01,"Scenario2: 0,06",1,9.85
"37","Beverton",10,0.0632126251677983,0.00190050944965333,286.048962632753,16.6274902059231,0.185935824706685,0.01,"Scenario1: 0,00",0,0
"38","Beverton",10,0.0632126251677983,0.00190050944965333,286.048962632753,16.6274902059231,0.185935824706685,0.01,"Scenario2: 0,02",0,0
"39","Beverton",10,0.0632126251677983,0.00190050944965333,286.048962632753,16.6274902059231,0.185935824706685,0.01,"Scenario3: 0,04",0,0
"40","Beverton",10,0.0632126251677983,0.00190050944965333,286.048962632753,16.6274902059231,0.185935824706685,0.01,"Scenario2: 0,06",0,0
"41","Beverton",11,0.0857977446308359,0.000479105946142226,288.289495264739,10.0878671319224,0.473651981309522,0.01,"Scenario1: 0,00",0,0
"42","Beverton",11,0.0857977446308359,0.000479105946142226,288.289495264739,10.0878671319224,0.473651981309522,0.01,"Scenario2: 0,02",0,0
"43","Beverton",11,0.0857977446308359,0.000479105946142226,288.289495264739,10.0878671319224,0.473651981309522,0.01,"Scenario3: 0,04",0,0
"44","Beverton",11,0.0857977446308359,0.000479105946142226,288.289495264739,10.0878671319224,0.473651981309522,0.01,"Scenario2: 0,06",0,0
"45","Beverton",12,0.0684855374787003,0.000161573613062501,274.33894291576,18.4176906940993,0.381077875702176,0.01,"Scenario1: 0,00",0,0
"46","Beverton",12,0.0684855374787003,0.000161573613062501,274.33894291576,18.4176906940993,0.381077875702176,0.01,"Scenario2: 0,02",0,0
"47","Beverton",12,0.0684855374787003,0.000161573613062501,274.33894291576,18.4176906940993,0.381077875702176,0.01,"Scenario3: 0,04",0,0
"48","Beverton",12,0.0684855374787003,0.000161573613062501,274.33894291576,18.4176906940993,0.381077875702176,0.01,"Scenario2: 0,06",0,0
"49","Beverton",13,0.0166575214313343,0.00162313201790676,292.910654659476,4.3298310674727,0.156705493405461,0.01,"Scenario1: 0,00",0.05,6
"50","Beverton",13,0.0166575214313343,0.00162313201790676,292.910654659476,4.3298310674727,0.156705493405461,0.01,"Scenario2: 0,02",0,0
"51","Beverton",13,0.0166575214313343,0.00162313201790676,292.910654659476,4.3298310674727,0.156705493405461,0.01,"Scenario3: 0,04",0,0
"52","Beverton",13,0.0166575214313343,0.00162313201790676,292.910654659476,4.3298310674727,0.156705493405461,0.01,"Scenario2: 0,06",0,0
"53","Beverton",14,0.0439480896852911,0.00141066850721836,293.765802209359,16.1503806386609,0.188692012410611,0.01,"Scenario1: 0,00",0,0
"54","Beverton",14,0.0439480896852911,0.00141066850721836,293.765802209359,16.1503806386609,0.188692012410611,0.01,"Scenario2: 0,02",0,0
"55","Beverton",14,0.0439480896852911,0.00141066850721836,293.765802209359,16.1503806386609,0.188692012410611,0.01,"Scenario3: 0,04",0,0
"56","Beverton",14,0.0439480896852911,0.00141066850721836,293.765802209359,16.1503806386609,0.188692012410611,0.01,"Scenario2: 0,06",0,0
"57","Beverton",15,0.029079221514985,0.0012156707434915,299.798165029474,13.2801635707729,0.291859906502068,0.01,"Scenario1: 0,00",0,0
"58","Beverton",15,0.029079221514985,0.0012156707434915,299.798165029474,13.2801635707729,0.291859906502068,0.01,"Scenario2: 0,02",0,0
"59","Beverton",15,0.029079221514985,0.0012156707434915,299.798165029474,13.2801635707729,0.291859906502068,0.01,"Scenario3: 0,04",0,0
"60","Beverton",15,0.029079221514985,0.0012156707434915,299.798165029474,13.2801635707729,0.291859906502068,0.01,"Scenario2: 0,06",0,0
"61","Beverton",16,0.0274323730287142,0.00198110307427123,302.556233362388,5.7089297871571,0.206095276759006,0.01,"Scenario1: 0,00",1,2
"62","Beverton",16,0.0274323730287142,0.00198110307427123,302.556233362388,5.7089297871571,0.206095276759006,0.01,"Scenario2: 0,02",1,2
"63","Beverton",16,0.0274323730287142,0.00198110307427123,302.556233362388,5.7089297871571,0.206095276759006,0.01,"Scenario3: 0,04",1,2
"64","Beverton",16,0.0274323730287142,0.00198110307427123,302.556233362388,5.7089297871571,0.206095276759006,0.01,"Scenario2: 0,06",1,2
"65","Beverton",17,0.0542258714162745,0.000137571667786688,296.215238068812,14.9606972588226,0.480635289049242,0.01,"Scenario1: 0,00",0,0
"66","Beverton",17,0.0542258714162745,0.000137571667786688,296.215238068812,14.9606972588226,0.480635289049242,0.01,"Scenario2: 0,02",0,0
"67","Beverton",17,0.0542258714162745,0.000137571667786688,296.215238068812,14.9606972588226,0.480635289049242,0.01,"Scenario3: 0,04",0,0
"68","Beverton",17,0.0542258714162745,0.000137571667786688,296.215238068812,14.9606972588226,0.480635289049242,0.01,"Scenario2: 0,06",0,0
"69","Beverton",18,0.0668476272025146,0.00150644893199205,301.318477092404,4.02162259840406,0.171391082517803,0.01,"Scenario1: 0,00",1,2.05
"70","Beverton",18,0.0668476272025146,0.00150644893199205,301.318477092404,4.02162259840406,0.171391082517803,0.01,"Scenario2: 0,02",1,2.05
"71","Beverton",18,0.0668476272025146,0.00150644893199205,301.318477092404,4.02162259840406,0.171391082517803,0.01,"Scenario3: 0,04",1,2
"72","Beverton",18,0.0668476272025146,0.00150644893199205,301.318477092404,4.02162259840406,0.171391082517803,0.01,"Scenario2: 0,06",1,2
"73","Beverton",19,0.0971330269542523,0.000558193251490593,278.087548970338,8.50381416571327,0.231418815043289,0.01,"Scenario1: 0,00",0.9,51.55
"74","Beverton",19,0.0971330269542523,0.000558193251490593,278.087548970338,8.50381416571327,0.231418815043289,0.01,"Scenario2: 0,02",0,0
"75","Beverton",19,0.0971330269542523,0.000558193251490593,278.087548970338,8.50381416571327,0.231418815043289,0.01,"Scenario3: 0,04",0.6,52.5
"76","Beverton",19,0.0971330269542523,0.000558193251490593,278.087548970338,8.50381416571327,0.231418815043289,0.01,"Scenario2: 0,06",0.95,75.65
"77","Beverton",20,0.0305791644915007,0.00183652556361631,278.101588727999,2.66310351272114,0.418142890578601,0.01,"Scenario1: 0,00",1,2.35
"78","Beverton",20,0.0305791644915007,0.00183652556361631,278.101588727999,2.66310351272114,0.418142890578601,0.01,"Scenario2: 0,02",1,2.15
"79","Beverton",20,0.0305791644915007,0.00183652556361631,278.101588727999,2.66310351272114,0.418142890578601,0.01,"Scenario3: 0,04",1,2.35
"80","Beverton",20,0.0305791644915007,0.00183652556361631,278.101588727999,2.66310351272114,0.418142890578601,0.01,"Scenario2: 0,06",1,2.45
